filename,size_bytes,sha256,frontmatter_slug,suggested_slug,effective_slug,order,nav_label,h1,status,qa_score,already_published_by_slug,parser_flags
2026-09-11-personal-loan-vs-credit-card-cash-advance.md,30565,e59d6f2753b3841f9a77e86d4606d6e2d790a062f3ff290f293ad36ea70d7b79,personal-loan-vs-credit-card-cash-advance,,personal-loan-vs-credit-card-cash-advance,97,Loan vs. Cash Advance,"Personal Loan vs. Credit Card Cash Advance: Cost, Timing, and Repayment",,,no,
2026-09-11-personal-loan-vs-heloc-home-equity-debt-consolidation.md,12791,4185d766ca9fc188c47ed32e45c69d2a571b167781fc8080bb591ca6abcae800,personal-loan-vs-heloc-home-equity-debt-consolidation,,personal-loan-vs-heloc-home-equity-debt-consolidation,63,Loan vs HELOC,Personal Loan vs. HELOC or Home Equity Loan for Debt Consolidation,,,no,
2026-09-11-personal-loan-vs-personal-line-of-credit.md,30491,b58364be21de5004c29b91366551dee83df91f4cb05be9b948eb71a6364aa574,personal-loan-vs-personal-line-of-credit,,personal-loan-vs-personal-line-of-credit,95,Loan vs. Line of Credit,Personal Loan vs. Personal Line of Credit: Lump Sum or Reusable Credit?,,,no,
2026-09-11-personal-loan-vs-private-student-loan-education-costs.md,14069,da343413596520501f7a8b850b6fb7a3d4f180c9bdfdea49506aa19939cc010b,personal-loan-vs-private-student-loan-education-costs,,personal-loan-vs-private-student-loan-education-costs,57,Personal vs Student Loan,Personal Loan vs. Private Student Loan for Education Costs,,,no,
2026-09-11-personal-loan-wage-garnishment-bank-account-benefits.md,30107,198b0d71e382454a3c04d3496042a631722614da5c5c42ef19fbdb59604d5fc8,personal-loan-wage-garnishment-bank-account-benefits,,personal-loan-wage-garnishment-bank-account-benefits,92,Garnishment & Judgments,"Can a Personal Loan Creditor Garnish Your Wages, Bank Account, or Benefits?",,,no,
2026-09-11-personal-loan-without-a-job.md,17933,f6bfbb58a7f2a05a9213ec96035e58e38b527df3f84d1cc34191be055ad611fd,personal-loan-without-a-job,,personal-loan-without-a-job,73,Loan Without a Job,Can You Get a Personal Loan Without a Job? Start With the Income Question,,,no,
2026-09-11-personal-loans-for-military-members-scra-vs-mla.md,18210,bbdd91c3fee883bbc4991dd3e0edd6e09854dd4f8d089a4aa019fb0364d1dc30,personal-loans-for-military-members-scra-vs-mla,,personal-loans-for-military-members-scra-vs-mla,87,Military: SCRA vs MLA,Personal Loans for Military Members: SCRA vs. MLA Protections,,,no,
2026-09-11-secured-vs-unsecured-personal-loan.md,30176,b9e6b7e2def17d3eb566974856560f43a0b83ddbf5bfd7244b20c624e4c01325,secured-vs-unsecured-personal-loan,,secured-vs-unsecured-personal-loan,94,Secured vs. Unsecured,"Secured vs. Unsecured Personal Loans: Collateral, Cost, and Default Risk",,,no,
2026-09-11-small-personal-loan-500-to-5000-comparison-guide.md,11588,1ba4897b8a30efd2df86ad22957d4566c494b7cfd615f0780829ba7927bef780,small-personal-loan-500-to-5000-comparison-guide,,small-personal-loan-500-to-5000-comparison-guide,62,Small Personal Loan,"Small Personal Loan: How to Compare a $500-$5,000 Borrowing Need",,,no,
2026-09-11-someone-took-out-personal-loan-in-my-name.md,17219,53007fd035f65e1c19bc0d3f6840d05b4e34879138269a41402bb13f5f08c3c9,someone-took-out-personal-loan-in-my-name,,someone-took-out-personal-loan-in-my-name,88,Loan Identity Theft,Someone Took Out a Personal Loan in My Name: What to Do Next,,,no,
2026-09-11-what-happens-to-personal-loan-when-borrower-dies.md,21155,ebc3f158160f038f4f87bbcd458d6231b33bd59cdf0071efab2b697b7fd6c73f,what-happens-to-personal-loan-when-borrower-dies,,what-happens-to-personal-loan-when-borrower-dies,83,Loan After a Borrower Dies,What Happens to a Personal Loan When the Borrower Dies?,,,no,
2026-09-12-1822-personal-loan-for-insurance-deductible.md,19640,9695e91cca6aeb72e44ed5a4d95077686d2018682395db79e6eb77fe68e6219e,personal-loan-for-insurance-deductible,,personal-loan-for-insurance-deductible,100,Insurance Deductible,Personal Loan for a Home or Auto Insurance Deductible: Confirm the Gap Before You Borrow,,,yes,
2026-09-12-1822-personal-loan-vs-sba-disaster-loan.md,22503,e790c26232e6d7ef1dbde77b7c49dd160325d4101a27500a0f7f03dfc64aa016,personal-loan-vs-sba-disaster-loan,,personal-loan-vs-sba-disaster-loan,101,SBA Disaster Loan,Personal Loan vs. SBA Disaster Loan for Disaster Recovery: Check Official Assistance First,,,yes,
2026-09-12-1922-appliance-financing-personal-loan-vs-store-bnpl-rent-to-own.md,26258,f92543b185cb4a19b7a90839903eea1f3155b1a35e5d17b78214da5bf949f781,appliance-financing-personal-loan-vs-store-bnpl-rent-to-own,,appliance-financing-personal-loan-vs-store-bnpl-rent-to-own,102,Appliance Financing,"Appliance Financing: Compare a Personal Loan, Store Financing, BNPL, and Rent-to-Own",,,yes,
2026-09-12-1922-personal-loan-for-dental-work.md,24316,1b6f5774544dba6a49fe1c426c34f18eee5206ac93a0b0e2bc73e16f5b860fe3,personal-loan-for-dental-work,,personal-loan-for-dental-work,103,Dental Work,"Dental Work Financing: Compare a Personal Loan, Dental Payment Plan, and Medical Credit Card",,,yes,
2026-09-12-2119-hvac-financing-personal-loan-vs-contractor-heloc.md,30694,e523bfe095ef354c3a65d8fccf533837979ad27229a8fbed9862b07564c19bf0,hvac-financing-personal-loan-vs-contractor-heloc,,hvac-financing-personal-loan-vs-contractor-heloc,104,HVAC Financing,"HVAC Financing: Compare a Personal Loan, Contractor Financing, and a HELOC",,,yes,
2026-09-12-2221-home-ev-charger-installation-financing.md,22841,e379a64e09d87a1b9d0aabcc5bde10e0c2eebbda5b77e846b47fdb946b1c41be,home-ev-charger-installation-financing,,home-ev-charger-installation-financing,106,EV Charger Financing,Home EV Charger Financing in 2026: Compare Your Installation Payment Options,,,yes,
2026-09-12-2221-solar-panel-financing-personal-loan-vs-solar-loan-lease-ppa.md,28260,67440e17275b7ef9b87cec5d5de2b62a6073425631652d7cad30c619dc860dd6,solar-panel-financing-personal-loan-vs-solar-loan-lease-ppa,,solar-panel-financing-personal-loan-vs-solar-loan-lease-ppa,105,Solar Financing,"Solar Panel Financing in 2026: Compare Loans, Leases, PPAs, and Home Equity",,,yes,
